item_id,name,star,cost,taste,environment,service,review_count,item_type,location,lng,lat
10536250,避风塘 分店,3.0,0.0,6.8,6.8,6.8,1 条点评,面包甜点 , 步行街 公园路3号,104.7237420774489,31.49555542709224
10536272,六月雪(花园店) 分店,5.0,0.0,9.2,9.2,9.1,137 条点评,火锅 , 涪城区 临园路花园小区,104.7237420774489,31.49555542709224
10536286,家乡人饭店,3.0,0.0,7.6,7.6,7.6,1 条点评,快餐简餐 , 梓潼县其他 永乐街,104.7237420774489,31.49555542709224
10536292,西南科技大学城市学院-博味厅,3.0,0.0,7.2,7.1,7.1,9 条点评,快餐简餐 , 沈家坝 绵盐路,104.7237420774489,31.49555542709224
10536301,好吃屋食店,3.0,0.0,7.2,7.0,7.4,2 条点评,小吃面食 , 铁牛广场 铁牛街12-9号,104.7237420774489,31.49555542709224
10536320,大不同特色家常菜,3.0,0.0,7.3,7.3,7.3,1 条点评,东北菜 , 平武县其他 德政街17号,104.7237420774489,31.49555542709224
10536391,亿碗香红烧肉,3.0,0.0,7.7,7.7,7.7,3 条点评,快餐简餐 , 沿江路 沿江东街55-12号,104.7237420774489,31.49555542709224
10536404,兰兰西饼(实验店),5.0,0.0,9.0,9.1,9.0,158 条点评,面包甜点 , 江油市中心城区 江油市诗仙路中段91号（实验中学旁）,104.7237420774489,31.49555542709224
10536409,兰兰西饼(302店),5.0,0.0,9.1,9.1,9.0,165 条点评,面包甜点 , 江油市中心城区 长钢路与江东路交叉十字路口,104.7237420774489,31.49555542709224
10536416,兰兰西饼(恒丰园店),4.0,0.0,8.8,8.7,8.7,124 条点评,面包甜点 , 江油市中心城区 江油市渝州路156号,104.7237420774489,31.49555542709224
10536422,天香人家,3.0,0.0,6.8,7.1,7.1,1 条点评,东北菜 , 涪城区 回龙东路,104.7237420774489,31.49555542709224
10536433,飘香冷锅鱼,3.0,0.0,7.3,6.9,7.1,7 条点评,火锅 , 西科大 科大路400号,104.7237420774489,31.49555542709224
10536441,鹅公馆口味菜,3.0,0.0,7.3,7.3,7.3,3 条点评,粤菜 , 圣水 长虹大道北段300-18号,104.7237420774489,31.49555542709224
10536458,茶司汇茶饮,3.0,0.0,6.8,6.8,6.9,8 条点评,面包甜点 , 西科大 西科大新校区外,104.7237420774489,31.49555542709224
10536472,勾魂面,3.0,0.0,7.7,7.4,7.4,2 条点评,小吃面食 , 六里村 华兴南街27号,104.7237420774489,31.49555542709224
10536487,好又来中餐,3.0,0.0,7.0,7.0,7.0,1 条点评,川菜 , 六里村 华星南街41号,104.7237420774489,31.49555542709224
10536509,都江堰乡味居,5.0,0.0,9.2,9.1,9.1,41 条点评,火锅 , 芙蓉汉城 芙蓉汉城48-3号,104.7237420774489,31.49555542709224
10536512,吴记通宵面,3.0,0.0,7.3,6.8,6.8,3 条点评,小吃面食 , 五里堆 治平路46-30号,104.7237420774489,31.49555542709224
10536521,云南天麻鸡,3.0,0.0,7.6,7.6,7.6,1 条点评,其他 , 游仙区 游仙路185号,104.7237420774489,31.49555542709224
10536552,金诺瑞(六里村店) 分店,4.0,0.0,8.2,8.3,8.3,124 条点评,面包甜点 , 六里村 华兴南街5号,104.7237420774489,31.49555542709224
10536558,清真餐厅,3.0,0.0,6.4,6.4,6.4,1 条点评,清真菜 , 高水 跃进路北段70-6号,104.7237420774489,31.49555542709224
10536562,富顺豆花,3.0,0.0,6.4,6.8,6.8,1 条点评,小吃面食 , 高水 高水中街16旁,104.7237420774489,31.49555542709224
10536567,德华开元米粉,3.0,0.0,6.9,6.9,6.9,1 条点评,小吃面食 , 高水 高水南街9-21号,104.7237420774489,31.49555542709224
10536576,棒擀面,3.0,0.0,7.2,7.5,7.5,2 条点评,小吃面食 , 高水 宇虹北街12-2号,104.7237420774489,31.49555542709224
10536579,爱达乐(南河店) 分店,4.0,0.0,8.7,8.7,8.6,126 条点评,面包甜点 , 沈家坝 南河路口17-2号,104.7237420774489,31.49555542709224
10536582,重庆邮亭鲫鱼·耗儿鱼,3.0,0.0,7.2,7.2,7.2,1 条点评,火锅 , 高水 高水南街69对面,104.7237420774489,31.49555542709224
10536593,牛王庙怪味面,3.0,0.0,7.0,6.7,7.1,2 条点评,小吃面食 , 高水 高水中街18-29号,104.7237420774489,31.49555542709224
10536598,眼哥面馆,3.0,0.0,6.9,6.6,6.6,2 条点评,小吃面食 , 高水 跃进路北段68-22号,104.7237420774489,31.49555542709224
10536601,冯老三烧菜馆,3.0,0.0,7.3,7.3,7.3,5 条点评,快餐简餐 , 高水 飞虹路30附近,104.7237420774489,31.49555542709224
10536604,鑫龙自助鲜鱼庄,3.0,0.0,7.2,6.8,7.5,1 条点评,自助餐 , 六里村 六里村,104.7237420774489,31.49555542709224
10536619,爱达乐(星河店),4.0,0.0,8.2,8.3,8.4,90 条点评,面包甜点 , 六里村 跃进路北段108号附1号,104.7237420774489,31.49555542709224
