item_id,name,star,cost,taste,environment,service,review_count,item_type,location,lng,lat
10535901,阿里郎台式快餐厅,3.0,0.0,7.1,7.0,7.0,6 条点评,快餐简餐 , 西科大 青义路,121.52972465401899,32.0112081697474
10535907,蒋氏旺福米粉,3.0,0.0,6.9,6.9,7.0,1 条点评,快餐简餐 , 安昌路 三汇路21-5号,104.73813809495437,31.46517153551795
10535910,毛记和意冒菜(绵阳花园店),3.0,0.0,7.1,6.9,7.0,1 条点评,快餐简餐 , 涪城万达广场 花园南街32号,104.72228704867126,31.459823665765317
10535912,开元龙米粉,3.0,0.0,7.1,7.1,7.1,1 条点评,快餐简餐 , 高水 跃进路北段85-6号,104.7473652528985,31.499731710415073
10535914,康富源老开元米粉,3.0,0.0,7.3,6.8,6.6,7 条点评,快餐简餐 , 涪城区 荷花西街1-15号,104.71666738863819,31.464313193006504
10535915,升元赖米粉,3.0,0.0,6.8,7.1,7.1,1 条点评,快餐简餐 , 御营坝 长虹大道南段52-5号,104.7490035986571,31.45816521827545
10535916,舒记肥肠粉,3.0,0.0,6.7,6.7,6.8,2 条点评,快餐简餐 , 东方红大桥 成绵路1巷3-3号,104.7544573120184,31.47202690134817
10535929,蒲开元米粉,3.0,0.0,6.9,6.6,6.6,2 条点评,快餐简餐 , 六里村 华兴上街3-2号,104.77922607065847,31.495599387840215
10535932,开元赵米粉,3.0,0.0,6.4,6.4,6.4,1 条点评,快餐简餐 , 人民公园 临园路东段56号,104.75576180522913,31.46975797084366
10535951,南粉北面,3.0,0.0,6.9,6.7,6.8,1 条点评,快餐简餐 , 涪城万达广场 花园东街33号,104.72706869746018,31.46109426238935
10535957,尚客善品中式快餐连锁,3.0,0.0,7.6,7.6,7.6,1 条点评,快餐简餐 , 人民公园 兴达街绵阳电影院对面,104.7542011063039,31.467296441196666
10535975,开元胖姐米粉,3.0,0.0,7.1,6.8,7.4,2 条点评,快餐简餐 , 花园小区 临园路西段5号,104.73191388609274,31.46540040153915
10535984,开元山西米粉,3.0,0.0,7.4,7.4,7.4,1 条点评,快餐简餐 , 步行街 西大街46-4号,104.75874846623614,31.463983691594944
10535993,升元米粉,3.0,0.0,6.4,6.4,6.4,2 条点评,快餐简餐 , 西科大 青义路,121.52972465401899,32.0112081697474
10536004,思琳饭店,3.0,0.0,6.7,6.8,6.7,5 条点评,快餐简餐 , 西科大 青羊西街12号,104.70617828841873,31.546210975861857
10536020,嘉怡肥肠馆,3.0,0.0,7.4,6.8,6.9,3 条点评,快餐简餐 , 六里村 六里村,122.33586601470805,40.38211072514845
10536045,永华米粉(九洲国际店),3.0,0.0,7.2,6.8,7.2,1 条点评,快餐简餐 , 九洲国际 跃进东街7-7号,104.75364507136271,31.47810190381209
10536061,奇味罐罐饭,3.0,0.0,7.2,7.0,7.2,1 条点评,快餐简餐 , 桃园路 剑南路西段81-7号,104.73967334398618,31.473207508790185
10536071,冒牌火锅菜,3.0,0.0,7.1,7.1,7.1,1 条点评,快餐简餐 , 凯德广场 临园路中段32-3号,104.74247879341591,31.46919222578788
10536091,东升休闲茶楼,3.0,0.0,7.6,7.6,7.6,1 条点评,茶馆 , 六里村 六里村建材市场阳光路46号,104.77737434949378,31.491008175711084
10536092,食尚客卤肉卷,3.0,0.0,6.8,6.8,7.2,1 条点评,面包甜点 , 步行街 公园路3号,104.75768215154494,31.46671679589282
10536150,年华鲜米粉,3.0,0.0,7.5,7.4,7.5,3 条点评,快餐简餐 , 园艺山 园艺东街9号,104.70887028365912,31.487359885893692
10536161,五牛大酒店宴会厅,2.0,0.0,6.0,6.0,6.0,1 条点评,粤菜 , 沿江路 沿江东街61号,104.74910900043581,31.468057904993014
10536169,盘中餐食府,3.0,0.0,7.4,7.4,7.4,1 条点评,川菜 , 安县中心城区 启明星大道南段,104.57195089379456,31.544238790680826
10536183,一口钟,4.0,0.0,8.5,8.2,8.4,51 条点评,快餐简餐 , 江油市中心城区 江油涪江路东段26号,104.76155046841848,31.76921407447107
10536196,好实在饭庄,3.0,0.0,6.8,7.1,6.8,1 条点评,新疆菜 , 五一广场 西山东路95号,104.75139066049894,31.48486658361181
10536231,剑门豆腐家常菜,3.0,0.0,7.2,7.2,7.7,1 条点评,东北菜 , 东方红大桥 成绵路1巷9-8号,104.75498356932965,31.472355048530233
10536250,避风塘 分店,3.0,0.0,6.8,6.8,6.8,1 条点评,面包甜点 , 步行街 公园路3号,104.75768215154494,31.46671679589282
10536272,六月雪(花园店) 分店,5.0,0.0,9.2,9.2,9.1,137 条点评,火锅 , 涪城区 临园路花园小区,104.73259011520946,31.463941733983752
10536286,家乡人饭店,3.0,0.0,7.6,7.6,7.6,1 条点评,快餐简餐 , 梓潼县其他 永乐街,105.07752722935724,31.570119288723465
10536292,西南科技大学城市学院-博味厅,3.0,0.0,7.2,7.1,7.1,9 条点评,快餐简餐 , 沈家坝 绵盐路,119.48627105131655,31.37204932798616
10536301,好吃屋食店,3.0,0.0,7.2,7.0,7.4,2 条点评,小吃面食 , 铁牛广场 铁牛街12-9号,104.75971926230586,31.469310340267594
10536320,大不同特色家常菜,3.0,0.0,7.3,7.3,7.3,1 条点评,东北菜 , 平武县其他 德政街17号,104.40430826693263,32.446911722865075
10536391,亿碗香红烧肉,3.0,0.0,7.7,7.7,7.7,3 条点评,快餐简餐 , 沿江路 沿江东街55-12号,104.74805361452945,31.468044340976082
10536404,兰兰西饼(实验店),5.0,0.0,9.0,9.1,9.0,158 条点评,面包甜点 , 江油市中心城区 江油市诗仙路中段91号（实验中学旁）,104.7450759482555,31.782967690344936
10536409,兰兰西饼(302店),5.0,0.0,9.1,9.1,9.0,165 条点评,面包甜点 , 江油市中心城区 长钢路与江东路交叉十字路口,104.76459624915687,31.77308733910916
10536416,兰兰西饼(恒丰园店),4.0,0.0,8.8,8.7,8.7,124 条点评,面包甜点 , 江油市中心城区 江油市渝州路156号,104.7456007679785,31.77561558601461
10536422,天香人家,3.0,0.0,6.8,7.1,7.1,1 条点评,东北菜 , 涪城区 回龙东路,104.70657915545594,31.560095279367815
10536433,飘香冷锅鱼,3.0,0.0,7.3,6.9,7.1,7 条点评,火锅 , 西科大 科大路400号,120.48757588928872,36.120127799518606
10536441,鹅公馆口味菜,3.0,0.0,7.3,7.3,7.3,3 条点评,粤菜 , 圣水 长虹大道北段300-18号,104.73288842629982,31.515717895963157
10536458,茶司汇茶饮,3.0,0.0,6.8,6.8,6.9,8 条点评,面包甜点 , 西科大 西科大新校区外,113.86633758180707,22.775326147273237
10536472,勾魂面,3.0,0.0,7.7,7.4,7.4,2 条点评,小吃面食 , 六里村 华兴南街27号,104.77525973203517,31.490235504805426
10536487,好又来中餐,3.0,0.0,7.0,7.0,7.0,1 条点评,川菜 , 六里村 华星南街41号,104.77403255687797,31.490723380542544
10536509,都江堰乡味居,5.0,0.0,9.2,9.1,9.1,41 条点评,火锅 , 芙蓉汉城 芙蓉汉城48-3号,104.78116958786661,31.484620611621587
10536512,吴记通宵面,3.0,0.0,7.3,6.8,6.8,3 条点评,小吃面食 , 五里堆 治平路46-30号,104.77129698843049,31.481819556260234
10536521,云南天麻鸡,3.0,0.0,7.6,7.6,7.6,1 条点评,其他 , 游仙区 游仙路185号,104.78113710603768,31.511324003293037
10536552,金诺瑞(六里村店) 分店,4.0,0.0,8.2,8.3,8.3,124 条点评,面包甜点 , 六里村 华兴南街5号,104.77714717431844,31.490015114973687
10536558,清真餐厅,3.0,0.0,6.4,6.4,6.4,1 条点评,清真菜 , 高水 跃进路北段70-6号,104.74935099316053,31.495639403325967
10536562,富顺豆花,3.0,0.0,6.4,6.8,6.8,1 条点评,小吃面食 , 高水 高水中街16旁,104.74281512708359,31.50010409081259
10536567,德华开元米粉,3.0,0.0,6.9,6.9,6.9,1 条点评,小吃面食 , 高水 高水南街9-21号,104.74946038072079,31.495860756060996
10536576,棒擀面,3.0,0.0,7.2,7.5,7.5,2 条点评,小吃面食 , 高水 宇虹北街12-2号,116.76107078853875,42.10283040262841
10536579,爱达乐(南河店) 分店,4.0,0.0,8.7,8.7,8.6,126 条点评,面包甜点 , 沈家坝 南河路口17-2号,119.48627105131655,31.37204932798616
10536582,重庆邮亭鲫鱼·耗儿鱼,3.0,0.0,7.2,7.2,7.2,1 条点评,火锅 , 高水 高水南街69对面,104.74211600015941,31.494892910014375
10536593,牛王庙怪味面,3.0,0.0,7.0,6.7,7.1,2 条点评,小吃面食 , 高水 高水中街18-29号,104.74142220827169,31.499602195921835
10536598,眼哥面馆,3.0,0.0,6.9,6.6,6.6,2 条点评,小吃面食 , 高水 跃进路北段68-22号,104.74937148261091,31.494969829869625
10536601,冯老三烧菜馆,3.0,0.0,7.3,7.3,7.3,5 条点评,快餐简餐 , 高水 飞虹路30附近,104.74749487928189,31.501304875242283
10536604,鑫龙自助鲜鱼庄,3.0,0.0,7.2,6.8,7.5,1 条点评,自助餐 , 六里村 六里村,122.33586601470805,40.38211072514845
10536619,爱达乐(星河店),4.0,0.0,8.2,8.3,8.4,90 条点评,面包甜点 , 六里村 跃进路北段108号附1号,104.74377100229879,31.507783071821272
10536624,爱达乐(桃源店) 分店,4.0,0.0,8.4,8.4,8.3,89 条点评,面包甜点 , 高水 临园路中段133-1号峻峰大厦一楼,104.74014955370313,31.468024839704917
10536626,爱达乐(成绵店) 分店,4.0,0.0,8.5,8.4,8.3,120 条点评,面包甜点 , 涪城区 成绵路83号,104.75526963441988,31.471255703381924
10536629,好吃嘴韩式烧烤盘,3.0,0.0,7.7,7.2,7.2,1 条点评,烧烤 , 五里堆 五里堆南路5-14号,111.73200630821448,25.756298676671946
10536632,江油肥肠中餐馆,3.0,0.0,7.2,6.8,6.8,1 条点评,小吃面食 , 圣水 圣水南街33号,104.74123940130379,31.508527336801432
10536635,龙云杂酱面馆,3.0,0.0,7.4,7.4,7.4,1 条点评,小吃面食 , 沈家坝 李杜祠巷,104.77310025409767,31.473560926660088
10536650,飘香元一小火锅,3.0,0.0,7.0,7.0,7.0,1 条点评,火锅 , 开元场 开元路28-8号,104.76670441857854,31.47267980200037
10536658,江油肥肠馆,3.0,0.0,7.7,7.2,6.8,1 条点评,川菜 , 高水 高水南街61号,104.7425510001111,31.49494090999446
10536665,老幺秘方擀面皮直营,3.0,0.0,7.1,7.1,7.1,1 条点评,小吃面食 , 人民公园 临园路东段41-43号,104.75825190630617,31.468981111173402
10536668,王胖子特色面馆,3.0,0.0,7.5,7.0,7.0,2 条点评,小吃面食 , 铁牛广场 涪城路47号,104.75748435994284,31.47159586078549
10536675,牧羊人烤羊腿,3.0,0.0,7.3,7.0,7.0,5 条点评,烧烤 , 开元场 芙蓉溪路18-3号,104.76988609093212,31.47350474393129
10536681,和顺小酒馆,3.0,0.0,7.1,7.0,7.1,5 条点评,酒吧 , 步行街 顺河前街9-8号,104.76397326799756,31.4668799551466
10536684,上海海鲜馄饨,3.0,0.0,7.3,7.1,7.3,1 条点评,小吃面食 , 步行街 翠花街4-29号,104.76083921931058,31.46566903277569
